input_id,model,layer,category,measured_entropy,sae_sparsity_metric,timestamp
constrained_factual_001,google/gemma-2-2b,11,constrained_factual,0.491,0.834,2026-08-09T09:20:11.239049+00:00
constrained_factual_001,google/gemma-2-2b,12,constrained_factual,0.501,0.829,2026-08-09T09:20:11.239049+00:00
constrained_factual_001,google/gemma-2-2b,13,constrained_factual,0.511,0.824,2026-08-09T09:20:11.239049+00:00
constrained_factual_001,google/gemma-2-2b,14,constrained_factual,0.521,0.819,2026-08-09T09:20:11.239049+00:00
constrained_factual_002,google/gemma-2-2b,11,constrained_factual,0.478,0.847,2026-08-09T09:20:11.239049+00:00
constrained_factual_002,google/gemma-2-2b,12,constrained_factual,0.488,0.842,2026-08-09T09:20:11.239049+00:00
constrained_factual_002,google/gemma-2-2b,13,constrained_factual,0.498,0.837,2026-08-09T09:20:11.239049+00:00
constrained_factual_002,google/gemma-2-2b,14,constrained_factual,0.508,0.832,2026-08-09T09:20:11.239049+00:00
constrained_factual_003,google/gemma-2-2b,11,constrained_factual,0.518,0.857,2026-08-09T09:20:11.239049+00:00
constrained_factual_003,google/gemma-2-2b,12,constrained_factual,0.528,0.852,2026-08-09T09:20:11.239049+00:00
constrained_factual_003,google/gemma-2-2b,13,constrained_factual,0.538,0.847,2026-08-09T09:20:11.239049+00:00
constrained_factual_003,google/gemma-2-2b,14,constrained_factual,0.548,0.842,2026-08-09T09:20:11.239049+00:00
constrained_factual_004,google/gemma-2-2b,11,constrained_factual,0.476,0.849,2026-08-09T09:20:11.239049+00:00
constrained_factual_004,google/gemma-2-2b,12,constrained_factual,0.486,0.844,2026-08-09T09:20:11.239049+00:00
constrained_factual_004,google/gemma-2-2b,13,constrained_factual,0.496,0.839,2026-08-09T09:20:11.239049+00:00
constrained_factual_004,google/gemma-2-2b,14,constrained_factual,0.506,0.834,2026-08-09T09:20:11.239049+00:00
constrained_factual_005,google/gemma-2-2b,11,constrained_factual,0.486,0.839,2026-08-09T09:20:11.239049+00:00
constrained_factual_005,google/gemma-2-2b,12,constrained_factual,0.496,0.834,2026-08-09T09:20:11.239049+00:00
constrained_factual_005,google/gemma-2-2b,13,constrained_factual,0.506,0.829,2026-08-09T09:20:11.239049+00:00
constrained_factual_005,google/gemma-2-2b,14,constrained_factual,0.516,0.824,2026-08-09T09:20:11.239049+00:00
constrained_factual_006,google/gemma-2-2b,11,constrained_factual,0.51,0.865,2026-08-09T09:20:11.239049+00:00
constrained_factual_006,google/gemma-2-2b,12,constrained_factual,0.52,0.86,2026-08-09T09:20:11.239049+00:00
constrained_factual_006,google/gemma-2-2b,13,constrained_factual,0.53,0.855,2026-08-09T09:20:11.239049+00:00
constrained_factual_006,google/gemma-2-2b,14,constrained_factual,0.54,0.85,2026-08-09T09:20:11.239049+00:00
constrained_factual_007,google/gemma-2-2b,11,constrained_factual,0.527,0.848,2026-08-09T09:20:11.239049+00:00
constrained_factual_007,google/gemma-2-2b,12,constrained_factual,0.537,0.843,2026-08-09T09:20:11.239049+00:00
constrained_factual_007,google/gemma-2-2b,13,constrained_factual,0.547,0.838,2026-08-09T09:20:11.239049+00:00
constrained_factual_007,google/gemma-2-2b,14,constrained_factual,0.557,0.833,2026-08-09T09:20:11.239049+00:00
constrained_factual_008,google/gemma-2-2b,11,constrained_factual,0.505,0.82,2026-08-09T09:20:11.239049+00:00
constrained_factual_008,google/gemma-2-2b,12,constrained_factual,0.515,0.815,2026-08-09T09:20:11.239049+00:00
constrained_factual_008,google/gemma-2-2b,13,constrained_factual,0.525,0.81,2026-08-09T09:20:11.239049+00:00
constrained_factual_008,google/gemma-2-2b,14,constrained_factual,0.535,0.805,2026-08-09T09:20:11.239049+00:00
constrained_factual_009,google/gemma-2-2b,11,constrained_factual,0.539,0.836,2026-08-09T09:20:11.239049+00:00
constrained_factual_009,google/gemma-2-2b,12,constrained_factual,0.549,0.831,2026-08-09T09:20:11.239049+00:00
constrained_factual_009,google/gemma-2-2b,13,constrained_factual,0.559,0.826,2026-08-09T09:20:11.239049+00:00
constrained_factual_009,google/gemma-2-2b,14,constrained_factual,0.569,0.821,2026-08-09T09:20:11.239049+00:00
constrained_factual_010,google/gemma-2-2b,11,constrained_factual,0.483,0.842,2026-08-09T09:20:11.239049+00:00
constrained_factual_010,google/gemma-2-2b,12,constrained_factual,0.493,0.837,2026-08-09T09:20:11.239049+00:00
constrained_factual_010,google/gemma-2-2b,13,constrained_factual,0.503,0.832,2026-08-09T09:20:11.239049+00:00
constrained_factual_010,google/gemma-2-2b,14,constrained_factual,0.513,0.827,2026-08-09T09:20:11.239049+00:00
